region_id,region_type,zipcode,state,metro_area,city,county
78144,zip,46411, IN, Chicago-Naperville-Elgin, Lake County, Whiting
84392,zip,60141, IL, Chicago-Naperville-Elgin, Cook County, Broadview
84630,zip,60629,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84620,zip,60618,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84639,zip,60639,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84646,zip,60647,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84693,zip,60804,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cicero,Cook County
84633,zip,60632,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84619,zip,60617,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84610,zip,60608,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84627,zip,60625,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84625,zip,60623,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84635,zip,60634,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84340,zip,60085,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Waukegan,Lake County
84654,zip,60657,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
78085,zip,46307,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Crown Point,Lake County
84616,zip,60614,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84622,zip,60620,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
84551,zip,60517,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Woodridge,DuPage County
84481,zip,60430,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Homewood,Cook County
84413,zip,60164,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Northlake,Cook County
84360,zip,60106,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Bensenville,DuPage County
84547,zip,60513,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Brookfield,Cook County
