region_id,region_type,region
403211,neigh,"Longwood;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Bronx County"
26591,city,Port Leyden;NY;nan;Lewis County
3986,city,"Carson;VA;Richmond, VA;Dinwiddie County"
6626,city,"Princeton;IA;Davenport-Moline-Rock Island, IA-IL;Scott County"
49285,city,Jackson;NH;nan;Carroll County
42441,city,"Dorset;OH;Ashtabula, OH;Ashtabula County"
50004,city,"Terrell;NC;Hickory-Lenoir-Morganton, NC;Catawba County"
48362,city,"Waukomis;OK;Enid, OK;Garfield County"
45537,city,Grasston;MN;nan;Pine County
46104,city,"Lake George;CO;Denver-Aurora-Lakewood, CO;Park County"
21445,city,"Coral;MI;Grand Rapids-Kentwood, MI;Montcalm County"
29920,city,Hobart;NY;nan;Delaware County
272644,city,"Sandyston Township;NJ;New York-Newark-Jersey City, NY-NJ-PA;Sussex County"
30857,city,"Chester;MA;Springfield, MA;Hampden County"
56666,city,"Semora;NC;Durham-Chapel Hill, NC;Person County"
26377,city,"Panacea;FL;Tallahassee, FL;Wakulla County"
22232,city,"Otterbein;IN;Lafayette-West Lafayette, IN;Warren County"
31278,city,"Dundas;MN;Faribault-Northfield, MN;Rice County"
271495,neigh,"North Dallas; TX; Dallas-Fort Worth-Arlington, TX; Dallas County; Dallas"
44167,city,"Bigfork;MN;Grand Rapids, MN;Itasca County"
47791,city,Spickard;MO;nan;Grundy County
21760,city,"Bent Mountain;VA;Roanoke, VA;Roanoke County"
9902,city,"Peck;KS;Wichita, KS;Sumner County"
51354,city,"Charlack;MO;St. Louis, MO-IL;Saint Louis County"
55436,city,"Delavan;IL;Peoria, IL;Tazewell County"
18713,city,"Isleton;CA;Sacramento-Roseville-Folsom, CA;Sacramento County"
14928,city,"Aurora;NY;Auburn, NY;Cayuga County"
37650,city,"Bunch;OK;Tahlequah, OK;Adair County"
36018,city,"Ney;OH;Defiance, OH;Defiance County"
56238,city,"Pasadena Hills;MO;St. Louis, MO-IL;Saint Louis County"
17843,city,"Duxbury;VT;Barre, VT;Washington County"
4675,city,"Fall Creek;OR;Eugene-Springfield, OR;Lane County"
26878,city,"Russell;MA;Springfield, MA;Hampden County"
23234,city,"Huntington;AR;Fort Smith, AR-OK;Sebastian County"
12996,city,"Norfork;AR;Mountain Home, AR;Baxter County"
7763,city,"Warren;CT;Torrington, CT;Litchfield County"
343208,neigh,"Highbridge;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Bronx County"
11670,city,"Grand Meadow;MN;Austin, MN;Mower County"
55823,city,"Glendale;OR;Roseburg, OR;Douglas County"
6171,city,"New Plymouth;OH;Columbus, OH;Vinton County"
2375,county,Lamoille County;VT;nan
865,county,"Benton County;IA;Cedar Rapids, IA"
2481,county,Plymouth County;IA;nan
703,county,"Salem City;VA;Roanoke, VA"
568,county,Iosco County;MI;nan
3230,county,"Staunton City;VA;Staunton, VA"
1297,county,Otsego County;MI;nan
2400,county,Manistee County;MI;nan
270891,neigh,"Morningside Heights;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;New York County"
699,county,"Routt County;CO;Steamboat Springs, CO"
891,county,"Bremer County;IA;Waterloo-Cedar Falls, IA"
2550,county,"Somerset County;MD;Salisbury, MD-DE"
1207,county,Miller County;MO;nan
1427,county,"Teller County;CO;Colorado Springs, CO"
1517,county,"Aransas County;TX;Rockport, TX"
3162,county,"Fairfax City;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV"
2936,county,"Hood River County;OR;Hood River, OR"
878,county,"Blaine County;ID;Hailey, ID"
2838,county,Roscommon County;MI;nan
833,county,Antrim County;MI;nan
745,county,"Teton County;WY;Jackson, WY-ID"
466,county,"Curry County;OR;Brookings, OR"
1962,county,Pacific County;WA;nan
782,county,Vilas County;WI;nan
3052,county,"Washington County;IA;Iowa City, IA"
1198,county,Mercer County;KY;nan
2390,county,"Leelanau County;MI;Traverse City, MI"
1235,county,Morgan County;MO;nan
3086,county,"Buena Vista County;IA;Storm Lake, IA"
403295,neigh,Lake View East; IL; Chicago-Naperville-Elgin; Cook County; Chicago
364,county,Adams County;WI;nan
487,county,"Dukes County;MA;Vineyard Haven, MA"
273766,neigh,"Fort Greene;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Kings County"
1877,county,"Lincoln County;NM;Ruidoso, NM"
1329,county,Plumas County;CA;nan
1796,county,Jackson County;IA;nan
1606,county,Chaffee County;CO;nan
2962,county,"Los Alamos County;NM;Los Alamos, NM"
2932,county,Green Lake County;WI;nan
430,county,Cedar County;IA;nan
1053,county,Greene County;GA;nan
1937,county,"Montour County;PA;Bloomsburg-Berwick, PA"
873,county,"Benzie County;MI;Traverse City, MI"
1368,county,Sawyer County;WI;nan
376,county,Avery County;NC;nan
2522,county,San Juan County;WA;nan
2681,county,"Dickinson County;IA;Spirit Lake, IA"
2246,county,Delaware County;IA;nan
1324,county,"Pitkin County;CO;Glenwood Springs, CO"
315,county,Tama County;IA;nan
2313,county,Gunnison County;CO;nan
692,county,Rabun County;GA;nan
2737,county,"Jefferson County;IA;Fairfield, IA"
528,county,Grand County;CO;nan
403,county,"Brown County;IN;Indianapolis-Carmel-Anderson, IN"
3279,county,"Williamsburg City;VA;Virginia Beach-Norfolk-Newport News, VA-NC"
3282,county,"Manassas Park City;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV"
1256,county,"Nelson County;VA;Charlottesville, VA"
3272,county,"Falls Church City;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV"
739,county,"Swain County;NC;Cullowhee, NC"
1273,county,O Brien County;IA;nan
2611,county,Allamakee County;IA;nan
3274,county,"Ketchikan Gateway Borough;AK;Ketchikan, AK"
935,county,Chowan County;NC;nan
