region_id,region_type,city,state,state_region,county,value
10215,city,Aurora,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,176352.20655
41587,city,Waukegan,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,142347.59315
44597,city,Cicero,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,174425.54405
41460,city,Valparaiso,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Porter County,172825.1434
50764,city,Arlington Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,340394.87475
17761,city,Des Plaines,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,245101.83925000002
18025,city,Evanston,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,390625.3393
33889,city,Schaumburg,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,253670.42395
45401,city,Gary,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,41873.28426
10484,city,Bolingbrook,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,219627.08875
26362,city,Palatine,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,262309.6966
33256,city,Orland Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,304630.1387
31125,city,Crown Point,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,168148.44205
20514,city,Skokie,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,332580.00295
24420,city,Downers Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,349025.17445
6267,city,Oak Lawn,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,211139.985
9969,city,Tinley Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,246232.9967
15894,city,Wheaton,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,359316.74165
39899,city,Mount Prospect,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,327239.68415
38718,city,Glenview,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,533158.4481500001
50985,city,Berwyn,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,215548.26165
6268,city,Oak Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,359354.3155
4271,city,Crystal Lake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,245784.70335000003
12426,city,Lombard,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,279306.61205
28533,city,Hoffman Estates,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,274584.9631
4568,city,Elmhurst,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,454495.10864999995
26336,city,Oswego,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,274192.78505
13650,city,Saint Charles,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,301919.4878
33178,city,Northbrook,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,544552.1919
37757,city,Carol Stream,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,257554.4619
44042,city,Bartlett,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,323575.89650000003
47876,city,Streamwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,212622.03795
33330,city,Park Ridge,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,486034.753
19328,city,Merrillville,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,107493.2863
39916,city,Mundelein,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,256328.6432
3319,city,Addison,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,279294.3298
47443,city,Romeoville,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,199064.0024
15007,city,Buffalo Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,298676.01415
24872,city,Glen Ellyn,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,391364.80905000004
53969,city,Portage,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Porter County,143585.658
21272,city,Wheeling,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,220125.36445
29044,city,New Lenox,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,266981.79965
45645,city,Hanover Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,184247.41575
10721,city,Carpentersville,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,154050.06715000002
5019,city,Gurnee,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,252138.22814999998
10669,city,Calumet City,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,103614.82505000001
55100,city,West Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,263929.8346
53581,city,Niles,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,325878.346
48574,city,Woodstock,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,217928.1569
24568,city,Elk Grove Village,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,256898.2266
18186,city,Frankfort,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,333635.29185000004
53260,city,Melrose Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,244892.1576
55253,city,Woodridge,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,278378.8795
28517,city,Lansing,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,124884.9713
32492,city,Libertyville,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,442394.11665
24877,city,Glendale Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,180101.66015
18263,city,Geneva,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,345311.1095
30354,city,Batavia,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,282091.8503
19441,city,Montgomery,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,204352.80719999998
40780,city,Schererville,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,178255.0283
10074,city,Algonquin,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,277208.44605
5498,city,Lake in the Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,225976.5252
8587,city,Huntley,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,269026.40085
46285,city,Lockport,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,241856.17595
55741,city,Highland Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,530429.5192499999
55487,city,Chicago Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,83278.24215
37652,city,Burbank,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,220179.75035
7703,city,Villa Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,253688.40795
21319,city,Wilmette,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,755043.7649999999
48668,city,Antioch,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,206783.8729
25828,city,McHenry,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,210409.3429
28833,city,East Chicago,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,45175.505735
25548,city,Lemont,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,407885.70519999997
6055,city,Morton Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,361087.09404999996
16535,city,Oak Forest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,206973.03505
43240,city,Round Lake Beach,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,129933.5383
55288,city,Yorkville,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,261398.02120000002
11311,city,Elmwood Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,276041.3011
29671,city,Roselle,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,277653.1576
49927,city,Vernon Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,291985.25765000004
23738,city,Bloomingdale,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,310714.48905
