region_id,region_type,city,state,metro_area,county
53060,city,Lubbock,TX,"Lubbock, TX",Lubbock County
12065,city,Irving,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County
18298,city,Glendale,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County
53856,city,Pensacola,FL,"Pensacola-Ferry Pass-Brent, FL",Escambia County
23482,city,Anchorage,AK,"Anchorage, AK",Anchorage Borough
44564,city,Chesapeake,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Chesapeake City
20362,city,Sarasota,FL,"North Port-Sarasota-Bradenton, FL",Sarasota County
52001,city,Fayetteville,NC,"Fayetteville, NC",Cumberland County
10417,city,Birmingham,AL,"Birmingham-Hoover, AL",Jefferson County
25104,city,Hialeah,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County
18251,city,Garland,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County
18847,city,Kissimmee,FL,"Orlando-Kissimmee-Sanford, FL",Osceola County
30258,city,Arlington,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Arlington County
54346,city,Scottsdale,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County
18208,city,Frisco,TX,"Dallas-Fort Worth-Arlington, TX",Collin County
32783,city,McKinney,TX,"Dallas-Fort Worth-Arlington, TX",Collin County
7087,city,Sioux Falls,SD,"Sioux Falls, SD",Minnehaha County
45457,city,Glendale,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
6696,city,Reading,PA,"Reading, PA",Berks County
5534,city,Lancaster,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
25218,city,Huntington Beach,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County
30742,city,Cape Coral,FL,"Cape Coral-Fort Myers, FL",Lee County
25482,city,Lake Worth Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County
20317,city,Salem,OR,"Salem, OR",Marion County
10843,city,Clarksville,TN,"Clarksville, TN-KY",Montgomery County
31821,city,Grand Prairie,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County
4054,city,Charleston,SC,"Charleston-North Charleston, SC",Charleston County
10215,city,Aurora,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County
44821,city,Cumming,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County
31606,city,Fort Lauderdale,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
31471,city,Evansville,IN,"Evansville, IN-KY",Vanderburgh County
