region_id,region_type,county,state,metro_area
1286,county,Orange County,CA,"Los Angeles-Long Beach-Anaheim, CA"
3175,county,Philadelphia County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
3017,county,Sacramento County,CA,"Sacramento-Roseville-Folsom, CA"
401,county,Bronx County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
3165,county,Hillsborough County,FL,"Tampa-St. Petersburg-Clearwater, FL"
1287,county,Orange County,FL,"Orlando-Kissimmee-Sanford, FL"
281,county,Pima County,AZ,"Tucson, AZ"
367,county,Allen County,IN,"Fort Wayne, IN"
158,county,Erie County,OH,"Sandusky, OH"
1993,county,Ravalli County,MT,nan
2541,county,Sequoyah County,OK,"Fort Smith, AR-OK"
538,county,Grant County,NM,"Silver City, NM"
3101,county,Los Angeles County,CA,"Los Angeles-Long Beach-Anaheim, CA"
139,county,Cook County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
1090,county,Harris County,TX,"Houston-The Woodlands-Sugar Land, TX"
2402,county,Maricopa County,AZ,"Phoenix-Mesa-Chandler, AZ"
2841,county,San Diego County,CA,"San Diego-Chula Vista-Carlsbad, CA"
581,county,Kings County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
2964,county,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
978,county,Dallas County,TX,"Dallas-Fort Worth-Arlington, TX"
2832,county,Riverside County,CA,"Riverside-San Bernardino-Ontario, CA"
207,county,King County,WA,"Seattle-Tacoma-Bellevue, WA"
2046,county,Suffolk County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
2441,county,Monmouth County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2711,county,Guadalupe County, NM,
2505,county,Richland County,ND,"Wahpeton, ND-MN"
1347,county,Queens County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
445,county,Clark County,NV,"Las Vegas-Henderson-Paradise, NV"
3250,county,San Bernardino County,CA,"Riverside-San Bernardino-Ontario, CA"
2049,county,Tarrant County,TX,"Dallas-Fort Worth-Arlington, TX"
99,county,Bent County,CO,nan
96,county,Bath County,VA,nan
386,county,Bexar County,TX,"San Antonio-New Braunfels, TX"
305,county,Rich County,UT,nan
3136,county,Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA"
1561,county,Broward County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
791,county,Wayne County,MI,"Detroit-Warren-Dearborn, MI"
1510,county,Alameda County,CA,"San Francisco-Oakland-Berkeley, CA"
1822,county,Johnson County,KS,"Kansas City, MO-KS"
258,county,Nome Borough, AK,
2002,county,Rolette County, ND,
2452,county,New York County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
2801,county,Middlesex County,MA,"Boston-Cambridge-Newton, MA-NH"
2993,county,Palm Beach County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
1252,county,Nassau County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
2288,county,Franklin County,OH,"Columbus, OH"
1950,county,Oakland County,MI,"Detroit-Warren-Dearborn, MI"
2339,county,Hennepin County,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
1440,county,Travis County,TX,"Austin-Round Rock-Georgetown, TX"
2241,county,Cuyahoga County,OH,"Cleveland-Elyria, OH"
2614,county,Allegheny County,PA,"Pittsburgh, PA"
2840,county,Salt Lake County,UT,"Salt Lake City, UT"
