region_id,region_type,city,state
394653,metro,Greenville, SC
394312,metro,Albuquerque, NM
394357,metro,Bakersfield, CA
394308,metro,Albany, NY
394753,metro,Knoxville, TN
394367,metro,Baton Rouge, LA
394843,metro,McAllen, TX
394908,metro,New Haven, CT
394561,metro,El Paso, TX
394318,metro,Allentown, PA
394952,metro,Oxnard, CA
394486,metro,Columbia, SC
753906,metro,North Port, FL
394457,metro,Charleston, SC
394648,metro,Greensboro, NC
395134,metro,Stockton, CA
394440,metro,Cape Coral, FL
394399,metro,Boise City, ID
394484,metro,Colorado Springs, CO
394766,metro,Lakeland, FL
394304,metro,Akron, OH
394531,metro,Des Moines, IA
395115,metro,Springfield, MA
394931,metro,Ogden, UT
394816,metro,Madison, WI
395235,metro,Winston, NC
394528,metro,Deltona, FL
395143,metro,Syracuse, NY
395006,metro,Provo, UT
395160,metro,Toledo, OH
395224,metro,Wichita, KS
394549,metro,Durham, NC
394352,metro,Augusta, GA
394957,metro,Palm Bay, FL
394711,metro,Jackson, MS
394666,metro,Harrisburg, PA
395113,metro,Spokane, WA
395075,metro,Scranton, PA
394460,metro,Chattanooga, TN
394871,metro,Modesto, CA
394768,metro,Lancaster, PA
394997,metro,Portland, ME
395019,metro,Reno, NV
394338,metro,Asheville, NC
395183,metro,Vallejo, CA
753917,metro,Santa Maria, CA
394502,metro,Corpus Christi, TX
394454,metro,Champaign, IL
394848,metro,Medford, OR
394459,metro,Charlottesville, VA
394763,metro,Lake Charles, LA
394773,metro,Las Cruces, NM
394464,metro,Chico, CA
394681,metro,Hilton Head Island, SC
394346,metro,Athens, GA
394765,metro,Lake Havasu City, AZ
394485,metro,Columbia, MO
395114,metro,Springfield, IL
394691,metro,Houma, LA
394872,metro,Monroe, LA
394565,metro,Elkhart, IN
394726,metro,Johnson City, TN
395247,metro,Yuma, AZ
394623,metro,Gainesville, GA
394716,metro,Jacksonville, NC
394597,metro,Florence, SC
394680,metro,Hilo, HI
395118,metro,St. Cloud, MN
395011,metro,Racine, WI
395162,metro,Torrington, CT
395009,metro,Punta Gorda, FL
394386,metro,Billings, MT
395018,metro,Redding, CA
394748,metro,Kingston, NY
394960,metro,Panama City, FL
394729,metro,Joplin, MO
394539,metro,Dover, DE
394559,metro,El Centro, CA
394712,metro,Jackson, TN
395246,metro,Yuba City, CA
394406,metro,Bowling Green, KY
395119,metro,St. George, UT
394896,metro,Muskegon, MI
394299,metro,Abilene, TX
394707,metro,Iowa City, IA
394351,metro,Auburn, AL
394860,metro,Midland, TX
753869,metro,Bloomington, IL
394671,metro,Hattiesburg, MS
394944,metro,Oshkosh, WI
394555,metro,Eau Claire, WI
394651,metro,Greenville, NC
395139,metro,Sumter, SC
394577,metro,Eureka, CA
395117,metro,Springfield, OH
394668,metro,Harrisonburg, VA
394368,metro,Battle Creek, MI
395094,metro,Sherman, TX
394821,metro,Manhattan, KS
394401,metro,Boone, IA; IA
394442,metro,Carbondale, IL
394727,metro,Johnstown, PA
394728,metro,Jonesboro, AR
394390,metro,Bismarck, ND
394661,metro,Hammond, LA
394824,metro,Mansfield, OH
395128,metro,Staunton, VA
394353,metro,Augusta, ME
394321,metro,Altoona, PA
394905,metro,New Bern, NC
394588,metro,Farmington, NM
395120,metro,St. Joseph, MO
395054,metro,San Angelo, TX
395218,metro,Wenatchee, WA
394932,metro,Ogdensburg, NY
394734,metro,Kankakee, IL
394709,metro,Ithaca, NY
394630,metro,Gettysburg, PA
394620,metro,Gadsden, AL
394733,metro,Kalispell, MT
394823,metro,Mankato, MN
394794,metro,Lima, OH
753915,metro,Salem, OH
395166,metro,Truckee, CA
395080,metro,Sebring, FL
394852,metro,Meridian, MS
753912,metro,Pinehurst, NC
394953,metro,Paducah, KY
395190,metro,Victoria, TX
395038,metro,Rome, GA
395086,metro,Sevierville, TN
394882,metro,Moses Lake, WA
394340,metro,Ashtabula, OH
394441,metro,Cape Girardeau, MO
394311,metro,Albertville, AL
394580,metro,Fairbanks, AK
394410,metro,Brainerd, MN
394513,metro,Cumberland, MD
394928,metro,Ocean City, NJ
394505,metro,Corvallis, OR
394988,metro,Pocatello, ID
394501,metro,Corning, NY
394911,metro,New Philadelphia, OH
395175,metro,Ukiah, CA
753887,metro,Hermiston, OR
394469,metro,Clarksburg, WV
394511,metro,Cullman, AL
395126,metro,Statesboro, GA
395231,metro,Wilson, NC
753881,metro,Glenwood Springs, CO
395085,metro,Seneca, SC
394866,metro,Minot, ND
394936,metro,Olean, NY
394465,metro,Chillicothe, OH
395077,metro,Searcy, AR
394638,metro,Grand Island, NE
394994,metro,Port Angeles, WA
394350,metro,Auburn, NY
394699,metro,Huntsville, TX
394738,metro,Keene, NH
394674,metro,Heber, UT
395010,metro,Quincy, IL
395062,metro,Sandusky, OH
394593,metro,Findlay, OH
394614,metro,Frankfort, KY
394516,metro,Danville, IL
394298,metro,Aberdeen, WA
394999,metro,Portsmouth, OH
395106,metro,Somerset, PA
753928,metro,Wisconsin Rapids, WI
753893,metro,Jefferson, GA
394736,metro,Kapaa, HI
394955,metro,Palatka, FL
394626,metro,Gallup, NM
394683,metro,Hobbs, NM
394587,metro,Farmington, MO
394897,metro,Muskogee, OK
394826,metro,Marion, IN
394586,metro,Faribault, MN
395021,metro,Richmond, IN
394829,metro,Marquette, MI
394922,metro,North Wilkesboro, NC
394885,metro,Mount Pleasant, MI
395024,metro,Rio Grande City, TX
394827,metro,Marion, OH
394360,metro,Baraboo, WI
395016,metro,Red Bluff, CA
394825,metro,Marinette, WI
394899,metro,Nacogdoches, TX
395105,metro,Somerset, KY
394496,metro,Coos Bay, OR
394600,metro,Forest City, NC
394836,metro,Martinsville, VA
394456,metro,Charleston, IL
394592,metro,Fernley, NV
394444,metro,Carson City, NV
394551,metro,Eagle Pass, TX
394432,metro,Calhoun, GA
753877,metro,Cullowhee, NC
394737,metro,Kearney, NE
395122,metro,St. Marys, GA
394402,metro,Boone, NC
395204,metro,Warrensburg, MO
394634,metro,Gloversville, NY
394604,metro,Fort Leonard Wood, MO
394993,metro,Poplar Bluff, MO
394562,metro,Elizabeth City, NC
394339,metro,Ashland, OH
395073,metro,Scottsboro, AL
394861,metro,Milledgeville, GA
394742,metro,Kerrville, TX
394363,metro,Bartlesville, OK
394906,metro,New Castle, IN
394820,metro,Manchester, NH
394919,metro,Norfolk, NE
394431,metro,Cadillac, MI
395043,metro,Ruston, LA
395097,metro,Sidney, OH
394876,metro,Montrose, CO
394504,metro,Cortland, NY
394887,metro,Mount Sterling, KY
394477,metro,Clinton, IA
753916,metro,Sandpoint, ID
753865,metro,Bardstown, KY
395201,metro,Wapakoneta, OH
394987,metro,Plymouth, IN
394789,metro,Lewistown, PA
394379,metro,Bemidji, MN
394377,metro,Bellefontaine, OH
395087,metro,Seymour, IN
394426,metro,Burley, ID
394548,metro,Durant, OK
394883,metro,Moultrie, GA
394398,metro,Bogalusa, LA
394500,metro,Cornelia, GA
753889,metro,Hillsdale, MI
395155,metro,Thomasville, GA
394961,metro,Paragould, AR
394650,metro,Greenville, MS
394850,metro,Menomonie, WI
753918,metro,Shawano, WI
395189,metro,Vicksburg, MS
394375,metro,Bedford, IN
395208,metro,Washington, NC
394482,metro,Coldwater, MI
753904,metro,Marion, NC
394695,metro,Huntingdon, PA
394567,metro,Ellensburg, WA
394990,metro,Ponca City, OK
394779,metro,Lawrenceburg, TN
394842,metro,McAlester, OK
394886,metro,Mount Pleasant, TX
395228,metro,Willmar, MN
395081,metro,Sedalia, MO
395072,metro,Scottsbluff, NE
394914,metro,Newberry, SC
394799,metro,Lock Haven, PA
394771,metro,Laramie, WY
394617,metro,Fremont, NE
395069,metro,Sault Ste. Marie, MI
394436,metro,Campbellsville, KY
394550,metro,Dyersburg, TN
394573,metro,Escanaba, MI
394840,metro,Mayfield, KY
394702,metro,Hutchinson, MN
394506,metro,Coshocton, OH
394522,metro,DeRidder, LA
395192,metro,Vincennes, IN
394370,metro,Bay City, TX
394920,metro,North Platte, NE
394915,metro,Newport, TN
394525,metro,Decatur, IN
395191,metro,Vidalia, GA
394413,metro,Brenham, TX
395187,metro,Vernal, UT
394947,metro,Ottumwa, IA
394430,metro,Butte, MT
394499,metro,Corinth, MS
394417,metro,Brookhaven, MS
394536,metro,Dodge City, KS
395211,metro,Watertown, SD
394331,metro,Angola, IN
394535,metro,Dixon, IL
394777,metro,Laurinburg, NC
395149,metro,Taos, NM
394419,metro,Brookings, SD
394324,metro,Americus, GA
394491,metro,Columbus, NE
395150,metro,Taylorville, IL
394335,metro,Arcadia, FL
394786,metro,Lewisburg, TN
395084,metro,Seneca Falls, NY
394533,metro,Dickinson, ND
395207,metro,Washington, IN
395165,metro,Troy, AL
394414,metro,Brevard, NC
395141,metro,Susanville, CA
394984,metro,Plainview, TX
753878,metro,Dayton, TN
753892,metro,Jackson, OH
394433,metro,Cambridge, MD
394962,metro,Paris, TN
394730,metro,Juneau, AK
394481,metro,Coffeyville, KS
394774,metro,Las Vegas, NM
394383,metro,Berlin, NH
394473,metro,Cleveland, MS
394670,metro,Hastings, NE
394376,metro,Beeville, TX
394749,metro,Kingsville, TX
394751,metro,Kirksville, MO
753901,metro,Ludington, MI
394356,metro,Bainbridge, GA
394320,metro,Alpena, MI
395206,metro,Washington Court House, OH
394673,metro,Hays, KS
394606,metro,Fort Morgan, CO
395185,metro,Van Wert, OH
394740,metro,Kennett, MO
753926,metro,Weatherford, OK
394892,metro,Mountain Home, ID
394864,metro,Mineral Wells, TX
394795,metro,Lincoln, IL
395100,metro,Silver City, NM
753879,metro,Elkins, WV
394812,metro,Macomb, IL
394435,metro,Camden, AR
394508,metro,Crescent City, CA
395048,metro,Salem, OR
394921,metro,North Vernon, IN
394615,metro,Fredericksburg, TX
395159,metro,Toccoa, GA
753923,metro,The Dalles, OR
394649,metro,Greensburg, IN
394706,metro,Indianola, MS
394758,metro,La Grande, OR
753909,metro,Ottawa, KS
394912,metro,New Ulm, MN
394791,metro,Lexington, NE
394643,metro,Great Bend, KS
395110,metro,Spearfish, SD
394830,metro,Marshall, MN
394584,metro,Fallon, NV
394322,metro,Altus, OK
753884,metro,Hailey, ID
753921,metro,Steamboat Springs, CO
395138,metro,Summerville, GA
394869,metro,Moberly, MO
394858,metro,Middlesborough, KY
395236,metro,Woodward, OK
395004,metro,Prineville, OR
394601,metro,Forrest City, AR
394494,metro,Connersville, IN
394868,metro,Mitchell, SD
394831,metro,Marshall, MO
394418,metro,Brookings, OR
395241,metro,Yankton, SD
394403,metro,Borger, TX
753914,metro,Port Lavaca, TX
753908,metro,Othello, WA
753925,metro,Vineyard Haven, MA
395003,metro,Price, UT
394996,metro,Portales, NM
394678,metro,Hereford, TX
395112,metro,Spirit Lake, IA
394594,metro,Fitzgerald, GA
753927,metro,Winnemucca, NV
394841,metro,Maysville, KY
395104,metro,Snyder, TX
395186,metro,Vermillion, SD
394968,metro,Pecos, TX
786255,metro,Central City, KY
786260,metro,Hope, AR
845161,metro,Bluffton, IN
786256,metro,Eufaula, AL
845171,metro,Union, SC
845169,metro,Rockport, TX
786254,metro,Carroll, IA
786263,metro,Ruidoso, NM
786257,metro,Fairmont, MN
786265,metro,West Point, MS
845168,metro,Pearsall, TX
786253,metro,Brownsville, TN
395015,metro,Reading, PA
394612,metro,Fort Wayne, IN
395051,metro,Salisbury, MD
394596,metro,Flint, MI
394972,metro,Peoria, IL
394439,metro,Canton, OH
394327,metro,Anchorage, AK
394372,metro,Beaumont, TX
395146,metro,Tallahassee, FL
394901,metro,Naples, FL
394679,metro,Hickory, NC
394602,metro,Fort Collins, CO
395107,metro,South Bend, IN
395109,metro,Spartanburg, SC
394579,metro,Evansville, IN
