region_id,region_type,zipcode,state,metro_area,city,county
58011,zip,00612, MI, Crawford County, Frederic,
58051,zip,00693, PA, Pittsburgh, Westmoreland County, Greensburg
70935,zip,30165,GA,"Rome, GA",Rome,Floyd County
58109,zip,00795, AL, Auburn-Opelika, Lee County, Juana Diaz
58129,zip,00907, AR, Forrest City, Saint Francis County, Widener
92526,zip,78584, TX," Rio Grande City-Roma, TX", Starr County,
58004,zip,00602, AL, Auburn-Opelika, Lee County, Auburn
62298,zip,11951, NY," New York-Newark-Jersey City, NY-NJ-PA", Suffolk County, Mastic Beach
86696,zip,65078,MO,nan,Stover,Morgan County
94610,zip,84627, UT, Sanpete County, Ephraim,
89510,zip,72370, AR," Blytheville, AR", Mississippi County, Osceola
83982,zip,59255, MT, Roosevelt County, Poplar,
89144,zip,71643, AR," Pine Bluff, AR", Lincoln County, Gould
58139,zip,00917, UT, Kane County, San Juan,
81573,zip,54129, WI," Appleton, WI", Calumet County, Woodville
91465,zip,76544, TX, Killeen-Temple, Bell County, Belton
58056,zip,00705, UT, Kane County, Aibonito,
88594,zip,70441, LA," Baton Rouge, LA", Saint Helena Parish, Greensburg
73868,zip,36445, AL, Monroe County, Frisco City,
92713,zip,78853, TX, Eagle Pass, Maverick County,
58003,zip,00601, MS, Tippah County, Adjuntas,
69843,zip,28307, NC, Fayetteville, Cumberland County, Fort Bragg
89614,zip,72533, AR, Stone County,,
85736,zip,62865, IL, Franklin County, Christopher,
86219,zip,63851, MO, Pemiscot County, Hayti,
88544,zip,70341, LA," Baton Rouge, LA", Assumption Parish, Belle Rose
65215,zip,17846, PA," Bloomsburg-Berwick, PA", Columbia County, Millville
89219,zip,71836, AR," Texarkana, TX-AR", Little River County, Foreman
92420,zip,78375, TX," Alice, TX", Jim Wells County, Premont
74933,zip,38646, MS, Quitman County, Marks,
94968,zip,85533, AZ, Greenlee County, Clifton,
88781,zip,70757, LA," Baton Rouge, LA", Iberville Parish, Maringouin
93421,zip,80477, CO, Steamboat Springs, Routt County,
95434,zip,87566, NM," Espa-ola, NM", Rio Arriba County, Ohkay Owingeh
61814,zip,10474, NY, New York-Newark-Jersey City, Bronx County, New York
89325,zip,72040, AR, Prairie County, Des Arc,
89228,zip,71846, AR, Sevier County, Lockesburg,
65224,zip,17859, PA," Bloomsburg-Berwick, PA", Columbia County, Orangeville
91285,zip,76155, TX, Dallas-Fort Worth-Arlington, Tarrant County, Fort Worth
66608,zip,20755, MD, Baltimore-Columbia-Towson, Anne Arundel County, Fort George G Meade
88865,zip,71027, LA," Shreveport-Bossier City, LA", De Soto Parish, Frierson
73932,zip,36553, AL," Mobile, AL", Washington County, McIntosh
74044,zip,36782, AL, Marengo County,,
89117,zip,71469, LA," Natchitoches, LA", Natchitoches Parish, Robeline
70163,zip,28719, NC, Swain County, Cherokee,
86823,zip,65473, MO, Fort Leonard Wood, Pulaski County, Saint Robert
89044,zip,71355, LA, Avoyelles Parish, Moreauville,
74040,zip,36769, AL, Wilcox County, Pine Hill,
61201,zip,08832, NJ," New York-Newark-Jersey City, NY-NJ-PA", Middlesex County, Keasbey
89189,zip,71749, AR," El Dorado, AR", Union County, Junction City
69561,zip,27865, NC," Washington, NC", Beaufort County, Pinetown
69875,zip,28347, NC," Rockingham, NC", Richmond County, Hoffman
88901,zip,71073, LA," Minden, LA", Webster Parish, Sibley
62184,zip,11697, NY, New York-Newark-Jersey City, Queens County, New York
68184,zip,24520, VA, Halifax County, Alton,
89178,zip,71726, AR," Camden, AR", Ouachita County, Chidester
91642,zip,76945, TX, Coke County, Robert Lee,
89147,zip,71647, AR, Bradley County, Hermitage,
70401,zip,29321, SC," Union, SC", Union County, Union
89225,zip,71842, AR, Sevier County, Horatio,
58149,zip,00927, CO, Archuleta County, Pagosa Springs,
90948,zip,75487, TX," Mount Pleasant, TX", Titus County, Talco
89787,zip,72853, AR," Russellville, AR", Yell County, Plainview
58015,zip,00617, AL, Enterprise, Coffee County, Imbery
71762,zip,32062, FL, Suwannee County, Mc Alpin,
88782,zip,70759, LA," Baton Rouge, LA", Pointe Coupee Parish, Morganza
71775,zip,32083, FL, Union County, Raiford,
95414,zip,87537, NM," Espa-ola, NM", Rio Arriba County, Hernandez
73957,zip,36585, AL," Mobile, AL", Washington County, Wagarville
88637,zip,70514, LA," Morgan City, LA", Saint Mary Parish, Baldwin
74048,zip,36786, AL, Perry County, Thomaston,
88964,zip,71226, LA, Jackson Parish, Chatham,
85768,zip,62898, IL," Mount Vernon, IL", Jefferson County, Woodlawn
89791,zip,72857, AR," Russellville, AR", Yell County, Plainview
95486,zip,87825, NM, Socorro County, Magdalena,
89478,zip,72327, AR," Memphis, TN-MS-AR", Crittenden County, Crawfordsville
