region_id,region_type,City,State,Metro Area,County
26591,city,Port Leyden,NY,,Lewis County
3986,city,Carson,VA,"Richmond, VA",Dinwiddie County
6626,city,Princeton,IA,"Davenport-Moline-Rock Island, IA-IL",Scott County
49285,city,Jackson,NH,,Carroll County
42441,city,Dorset,OH,"Ashtabula, OH",Ashtabula County
50004,city,Terrell,NC,"Hickory-Lenoir-Morganton, NC",Catawba County
48362,city,Waukomis,OK,"Enid, OK",Garfield County
45537,city,Grasston,MN,,Pine County
46104,city,Lake George,CO,"Denver-Aurora-Lakewood, CO",Park County
21445,city,Coral,MI,"Grand Rapids-Kentwood, MI",Montcalm County
29920,city,Hobart,NY,,Delaware County
272644,city,Sandyston Township,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Sussex County
30857,city,Chester,MA,"Springfield, MA",Hampden County
56666,city,Semora,NC,"Durham-Chapel Hill, NC",Person County
26377,city,Panacea,FL,"Tallahassee, FL",Wakulla County
22232,city,Otterbein,IN,"Lafayette-West Lafayette, IN",Warren County
31278,city,Dundas,MN,"Faribault-Northfield, MN",Rice County
44167,city,Bigfork,MN,"Grand Rapids, MN",Itasca County
47791,city,Spickard,MO,,Grundy County
21760,city,Bent Mountain,VA,"Roanoke, VA",Roanoke County
9902,city,Peck,KS,"Wichita, KS",Sumner County
51354,city,Charlack,MO,"St. Louis, MO-IL",Saint Louis County
55436,city,Delavan,IL,"Peoria, IL",Tazewell County
18713,city,Isleton,CA,"Sacramento-Roseville-Folsom, CA",Sacramento County
14928,city,Aurora,NY,"Auburn, NY",Cayuga County
37650,city,Bunch,OK,"Tahlequah, OK",Adair County
36018,city,Ney,OH,"Defiance, OH",Defiance County
56238,city,Pasadena Hills,MO,"St. Louis, MO-IL",Saint Louis County
17843,city,Duxbury,VT,"Barre, VT",Washington County
4675,city,Fall Creek,OR,"Eugene-Springfield, OR",Lane County
26878,city,Russell,MA,"Springfield, MA",Hampden County
23234,city,Huntington,AR,"Fort Smith, AR-OK",Sebastian County
12996,city,Norfork,AR,"Mountain Home, AR",Baxter County
7763,city,Warren,CT,"Torrington, CT",Litchfield County
11670,city,Grand Meadow,MN,"Austin, MN",Mower County
55823,city,Glendale,OR,"Roseburg, OR",Douglas County
6171,city,New Plymouth,OH,"Columbus, OH",Vinton County
167449,city,Haring,MI,"Cadillac, MI",Wexford County
202210,city,Minerva Park,OH,"Columbus, OH",Franklin County
34851,city,Williford,AR,"Batesville, AR",Sharp County
50066,city,Six Lakes,MI,"Grand Rapids-Kentwood, MI",Montcalm County
57319,city,Wolcott,VT,,Lamoille County
53879,city,Phippsburg,ME,"Portland-South Portland, ME",Sagadahoc County
10956,city,Cornwall,CT,"Torrington, CT",Litchfield County
39539,city,Ludlow Falls,OH,"Dayton-Kettering, OH",Miami County
36513,city,Saint James City,FL,"Cape Coral-Fort Myers, FL",Lee County
29202,city,Milton,NC,,Caswell County
33988,city,Sidney,IL,"Champaign-Urbana, IL",Champaign County
35041,city,Arcadia,OH,"Findlay, OH",Hancock County
50116,city,South Coffeyville,OK,,Nowata County
37201,city,Ashley,IN,"Auburn, IN",De Kalb County
48971,city,Bertha,MN,"Fergus Falls, MN",Todd County
