region_id,region_type,region,County Name,State,Metro Area
2375,county,Lamoille County;VT;nan,Lamoille County,VT,
865,county,"Benton County;IA;Cedar Rapids, IA",Benton County,IA,"Cedar Rapids, IA"
2481,county,Plymouth County;IA;nan,Plymouth County,IA,
703,county,"Salem City;VA;Roanoke, VA",Salem City,VA,"Roanoke, VA"
568,county,Iosco County;MI;nan,Iosco County,MI,
3230,county,"Staunton City;VA;Staunton, VA",Staunton City,VA,"Staunton, VA"
1297,county,Otsego County;MI;nan,Otsego County,MI,
2400,county,Manistee County;MI;nan,Manistee County,MI,
699,county,"Routt County;CO;Steamboat Springs, CO",Routt County,CO,"Steamboat Springs, CO"
891,county,"Bremer County;IA;Waterloo-Cedar Falls, IA",Bremer County,IA,"Waterloo-Cedar Falls, IA"
2550,county,"Somerset County;MD;Salisbury, MD-DE",Somerset County,MD,"Salisbury, MD-DE"
1207,county,Miller County;MO;nan,Miller County,MO,
1427,county,"Teller County;CO;Colorado Springs, CO",Teller County,CO,"Colorado Springs, CO"
1517,county,"Aransas County;TX;Rockport, TX",Aransas County,TX,"Rockport, TX"
3162,county,"Fairfax City;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax City,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2936,county,"Hood River County;OR;Hood River, OR",Hood River County,OR,"Hood River, OR"
878,county,"Blaine County;ID;Hailey, ID",Blaine County,ID,"Hailey, ID"
2838,county,Roscommon County;MI;nan,Roscommon County,MI,
833,county,Antrim County;MI;nan,Antrim County,MI,
745,county,"Teton County;WY;Jackson, WY-ID",Teton County,WY,"Jackson, WY-ID"
466,county,"Curry County;OR;Brookings, OR",Curry County,OR,"Brookings, OR"
1962,county,Pacific County;WA;nan,Pacific County,WA,
782,county,Vilas County;WI;nan,Vilas County,WI,
3052,county,"Washington County;IA;Iowa City, IA",Washington County,IA,"Iowa City, IA"
1198,county,Mercer County;KY;nan,Mercer County,KY,
2390,county,"Leelanau County;MI;Traverse City, MI",Leelanau County,MI,"Traverse City, MI"
1235,county,Morgan County;MO;nan,Morgan County,MO,
3086,county,"Buena Vista County;IA;Storm Lake, IA",Buena Vista County,IA,"Storm Lake, IA"
