region_id,region_type,Metro_Name,State
394859,metro,Midland,MI
395082,metro,Selinsgrove,PA
394801,metro,Logansport,IN
394419,metro,Brookings,SD
394642,metro,Grants,NM
394395,metro,Bloomsburg,PA
394945,metro,Oskaloosa,IA
395186,metro,Vermillion,SD
394941,metro,Opelousas,LA
394675,metro,Helena,MT
395145,metro,Talladega,AL
395133,metro,Stillwater,OK
394489,metro,Columbus,IN
394345,metro,Athens,TX
394452,metro,Centralia,WA
394822,metro,Manitowoc,WI
395061,metro,San Luis Obispo,CA
753875,metro,Crestview,FL
394447,metro,Cedar Rapids,IA
394348,metro,Atlantic City,NJ
394412,metro,Bremerton,WA
394572,metro,Erie,PA
394924,metro,Norwich,CT
395171,metro,Tuscaloosa,AL
394732,metro,Kalamazoo,MI
394682,metro,Hinesville,GA
394653,metro,Greenville,SC
394312,metro,Albuquerque,NM
394357,metro,Bakersfield,CA
394308,metro,Albany,NY
394733,metro,Kalispell,MT
395040,metro,Roswell,NM
394360,metro,Baraboo,WI
394540,metro,Dublin,GA
395124,metro,Starkville,MS
394316,metro,Alice,TX
394819,metro,Malone,NY
394379,metro,Bemidji,MN
394504,metro,Cortland,NY
394789,metro,Lewistown,PA
394375,metro,Bedford,IN
394850,metro,Menomonie,WI
753918,metro,Shawano,WI
394677,metro,Henderson,NC
394349,metro,Auburn,IN
394319,metro,Alma,MI
395046,metro,Safford,AZ
395178,metro,Urbana,OH
394771,metro,Laramie,WY
394888,metro,Mount Vernon,IL
395137,metro,Sulphur Springs,TX
394550,metro,Dyersburg,TN
395192,metro,Vincennes,IN
394696,metro,Huntington,IN
394915,metro,Newport,TN
394413,metro,Brenham,TX
394331,metro,Angola,IN
395084,metro,Seneca Falls,NY
394535,metro,Dixon,IL
786262,metro,Pella,IA
394536,metro,Dodge City,KS
753892,metro,Jackson,OH
394481,metro,Coffeyville,KS
394670,metro,Hastings,NE
394855,metro,Miami,OK
395196,metro,Wabash,IN
394310,metro,Albert Lea,MN
394812,metro,Macomb,IL
394320,metro,Alpena,MI
394708,metro,Iron Mountain,MI
394725,metro,Jesup,GA
395154,metro,Thomaston,GA
394846,metro,McPherson,KS
395245,metro,Youngstown,OH
394770,metro,Lansing,MI
394590,metro,Fayetteville,AR
394589,metro,Fayetteville,NC
394792,metro,Lexington,KY
394971,metro,Pensacola,FL
395068,metro,Santa Rosa,CA
395019,metro,Reno,NV
394698,metro,Huntsville,AL
394584,metro,Fallon,NV
395004,metro,Prineville,OR
394831,metro,Marshall,MO
395003,metro,Price,UT
394965,metro,Parsons,KS
394541,metro,DuBois,PA
395205,metro,Warsaw,IN
394986,metro,Plattsburgh,NY
395126,metro,Statesboro,GA
394445,metro,Casper,WY
395231,metro,Wilson,NC
753881,metro,Glenwood Springs,CO
395085,metro,Seneca,SC
394866,metro,Minot,ND
394936,metro,Olean,NY
394465,metro,Chillicothe,OH
395077,metro,Searcy,AR
394638,metro,Grand Island,NE
395202,metro,Warner Robins,GA
394553,metro,East Stroudsburg,PA
395079,metro,Sebastian,FL
395182,metro,Valdosta,GA
394994,metro,Port Angeles,WA
394350,metro,Auburn,NY
394699,metro,Huntsville,TX
394738,metro,Keene,NH
394674,metro,Heber,UT
395010,metro,Quincy,IL
395031,metro,Rochester,NY
394640,metro,Grand Rapids,MI
395167,metro,Tucson,AZ
753924,metro,Urban Honolulu,HI
395169,metro,Tulsa,OK
394619,metro,Fresno,CA
395238,metro,Worcester,MA
394938,metro,Omaha,NE
394753,metro,Knoxville,TN
394908,metro,New Haven,CT
394602,metro,Fort Collins,CO
395033,metro,Rockford,IL
394960,metro,Panama City,FL
394896,metro,Muskegon,MI
753869,metro,Bloomington,IL
395210,metro,Waterloo,IA
394639,metro,Grand Junction,CO
395062,metro,Sandusky,OH
394593,metro,Findlay,OH
394415,metro,Bridgeport,CT
753917,metro,Santa Maria,CA
395050,metro,Salinas,CA
395048,metro,Salem,OR
394870,metro,Mobile,AL
395015,metro,Reading,PA
394502,metro,Corpus Christi,TX
394421,metro,Brownsville,TX
394820,metro,Manchester,NH
394612,metro,Fort Wayne,IN
394658,metro,Gulfport,MS
395051,metro,Salisbury,MD
394596,metro,Flint,MI
394972,metro,Peoria,IL
394679,metro,Hickory,NC
394697,metro,Huntington,WV
394579,metro,Evansville,IN
394747,metro,Kingsport,TN
394660,metro,Hagerstown,MD
394543,metro,Duluth,MN
394937,metro,Olympia,WA
395229,metro,Wilmington,NC
394614,metro,Frankfort,KY
394516,metro,Danville,IL
394298,metro,Aberdeen,WA
394532,metro,Detroit,MI
395078,metro,Seattle,WA
394865,metro,Minneapolis,MN
395056,metro,San Diego,CA
395148,metro,Tampa,FL
395045,metro,Sacramento,CA
394982,metro,Pittsburgh,PA
394381,metro,Bennettsville,SC
394862,metro,Milwaukee,WI
394935,metro,Oklahoma City,OK
395012,metro,Raleigh,NC
394849,metro,Memphis,TN
395022,metro,Richmond,VA
394807,metro,Louisville,KY
394910,metro,New Orleans,LA
394669,metro,Hartford,CT
394425,metro,Buffalo,NY
394392,metro,Blacksburg,VA
394999,metro,Portsmouth,OH
395106,metro,Somerset,PA
394968,metro,Pecos,TX
394486,metro,Columbia,SC
753906,metro,North Port,FL
845158,metro,Dayton,OH
394457,metro,Charleston,SC
394648,metro,Greensboro,NC
395134,metro,Stockton,CA
394440,metro,Cape Coral,FL
394484,metro,Colorado Springs,CO
394798,metro,Little Rock,AR
394304,metro,Akron,OH
394531,metro,Des Moines,IA
395115,metro,Springfield,MA
394816,metro,Madison,WI
395235,metro,Winston,NC
