region_id,region_type,Neighborhood,State,Metro_Area,City,County
403211,neigh,Longwood,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
271495,neigh,North Dallas, TX," Dallas-Fort Worth-Arlington, TX", Dallas County, Dallas
343208,neigh,Highbridge,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
270891,neigh,Morningside Heights,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,New York County
403295,neigh,Lake View East, IL, Chicago-Naperville-Elgin, Cook County, Chicago
273766,neigh,Fort Greene,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
343212,neigh,Morris Park,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
194318,neigh,Dyker Heights,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
411394,neigh,Wilcox,CO,"Denver-Aurora-Lakewood, CO",Broomfield,Broomfield County
395973,neigh,Gunbarrel,CO,"Boulder, CO",Boulder,Boulder County
268118,neigh,Downtown,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
276113,neigh,Wolf Creek, TX," Dallas-Fort Worth-Arlington, TX", Dallas County, Dallas
194474,neigh,East Tremont,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
272701,neigh,M Streets, TX," Dallas-Fort Worth-Arlington, TX", Dallas County, Dallas
270848,neigh,Greenpoint,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
403110,neigh,Rochdale, NY, New York-Newark-Jersey City, Queens County, New York
276345,neigh,Glendale,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Queens County
403221,neigh,Prospect Lefferts Gardens,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Kings County
343220,neigh,Kingsbridge,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Bronx County
196338,neigh,Middle Village,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Queens County
270902,neigh,Ocean Hill, NY, New York-Newark-Jersey City, Kings County, New York
273483,neigh,Downtown,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Jersey City,Hudson County
202734,neigh,Osgood,ND,"Fargo, ND-MN",Fargo,Cass County
763764,neigh,The District,ND,"Fargo, ND-MN",Fargo,Cass County
44302,neigh,Briarwood,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,Queens County
272744,neigh,Alexandria West,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Alexandria,Alexandria City
274973,neigh,Park State East,IN,"Fort Wayne, IN",Fort Wayne,Allen County
274654,neigh,Nena,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino,San Bernardino County
