region_id,region_type,region,Zipcode,State,Metro Area,City,County
58924,zip,"2826;RI;Providence-Warwick, RI-MA;Burrillville;Providence County",02826,RI,"Providence-Warwick, RI-MA",Burrillville,Providence County
58472,zip,"1745;MA;Worcester, MA-CT;nan;Worcester County",01745,MA,"Worcester, MA-CT",nan,Worcester County
98400,zip,"95721;CA;Sacramento-Roseville-Folsom, CA;South Lake Tahoe;El Dorado County",95721,CA,"Sacramento-Roseville-Folsom, CA",South Lake Tahoe,El Dorado County
98402,zip,"95724;CA;Sacramento-Roseville-Folsom, CA;nan;Placer County",95724,CA,"Sacramento-Roseville-Folsom, CA",nan,Placer County
95851,zip,"89155;NV;Las Vegas-Henderson-Paradise, NV;Las Vegas;Clark County",89155,NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,Clark County
58259,zip,"1092;MA;Worcester, MA-CT;Warren;Worcester County",01092,MA,"Worcester, MA-CT",Warren,Worcester County
65172,zip,"17762;PA;Williamsport, PA;Hughesville;Lycoming County",17762,PA,"Williamsport, PA",Hughesville,Lycoming County
92356,zip,"78260;TX;San Antonio-New Braunfels, TX;San Antonio;Bexar County",78260,TX,"San Antonio-New Braunfels, TX",San Antonio,Bexar County
66793,zip,"21133;MD;Baltimore-Columbia-Towson, MD;Randallstown;Baltimore County",21133,MD,"Baltimore-Columbia-Towson, MD",Randallstown,Baltimore County
95079,zip,"85743;AZ;Tucson, AZ;Tucson;Pima County",85743,AZ,"Tucson, AZ",Tucson,Pima County
78560,zip,"47362;IN;New Castle, IN;New Castle;Henry County",47362,IN,"New Castle, IN",New Castle,Henry County
97696,zip,"94306;CA;San Jose-Sunnyvale-Santa Clara, CA;Palo Alto;Santa Clara County",94306,CA,"San Jose-Sunnyvale-Santa Clara, CA",Palo Alto,Santa Clara County
70360,zip,"29205;SC;Columbia, SC;Columbia;Richland County",29205,SC,"Columbia, SC",Columbia,Richland County
62523,zip,"12302;NY;Albany-Schenectady-Troy, NY;Schenectady;Schenectady County",12302,NY,"Albany-Schenectady-Troy, NY",Schenectady,Schenectady County
60976,zip,"8087;NJ;New York-Newark-Jersey City, NY-NJ-PA;Little Egg Harbor;Ocean County",08087,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Little Egg Harbor,Ocean County
65329,zip,"18052;PA;Allentown-Bethlehem-Easton, PA-NJ;Whitehall;Lehigh County",18052,PA,"Allentown-Bethlehem-Easton, PA-NJ",Whitehall,Lehigh County
63641,zip,"14620;NY;Rochester, NY;Rochester;Monroe County",14620,NY,"Rochester, NY",Rochester,Monroe County
58645,zip,"2131;MA;Boston-Cambridge-Newton, MA-NH;Boston;Suffolk County",02131,MA,"Boston-Cambridge-Newton, MA-NH",Boston,Suffolk County
